scenario,frame,src,family,paMethod,plannedBwHz,rsHz,beta,execObwHz,theoryCleanObwHz,ratioVsTheory,ratioVsAllocation,measObwHz,snrDb,activeN
12,6,2,OFDM,Cubic polynomial,20000000,16000000,0.25,20017792.17,NaN,NaN,1.00089,19905495.29,9.52524,2047
12,6,3,OFDM,Lookup table,20000000,16000000,0.25,19945904.88,NaN,NaN,0.997295,19930356.76,29.4001,2047
12,6,4,QAM,Hyperbolic tangent,20000000,16000000,0.25,18019062.9,17649091.31,1.02096,0.900953,18084381.04,21.4814,2047
12,6,5,QAM,Ghorbani model,10000000,8000000,0.25,8927888.008,8824545.657,1.01171,0.892789,8787779.503,8.21908,2047
12,7,1,OFDM,Saleh model,10000000,8000000,0.25,10017406.65,NaN,NaN,1.00174,10075339.76,25.9692,2047
12,7,2,OFDM,Cubic polynomial,20000000,16000000,0.25,19896923.25,NaN,NaN,0.994846,19790304.97,7.28502,2047
12,7,3,OFDM,Lookup table,20000000,16000000,0.25,19764197.9,NaN,NaN,0.98821,19669282.98,11.6533,2047
12,7,4,OFDM,Saleh model,10000000,8000000,0.25,10008300.21,NaN,NaN,1.00083,9902729.44,-6.43242,2047
12,7,5,QAM,Hyperbolic tangent,20000000,16000000,0.25,17818526.78,17649091.31,1.0096,0.890926,17728137.17,2.74503,2047
12,7,6,QAM,Ghorbani model,10000000,8000000,0.25,9043306.323,8824545.657,1.02479,0.904331,9022755.559,15.5647,2047
12,8,1,OFDM,Saleh model,10000000,8000000,0.25,10686752.3,NaN,NaN,1.06868,10728316.64,25.9692,409
12,8,2,OFDM,Cubic polynomial,20000000,16000000,0.25,20457328.78,NaN,NaN,1.02287,19825135.87,7.28502,409
12,8,3,OFDM,Lookup table,20000000,16000000,0.25,20417561.84,NaN,NaN,1.02088,20311029.1,11.6533,409
12,8,4,OFDM,Saleh model,10000000,8000000,0.25,10114542.67,NaN,NaN,1.01145,9989942.163,-6.43242,1637
12,8,5,QAM,Hyperbolic tangent,20000000,16000000,0.25,18205261.27,17649091.31,1.03151,0.910263,18449964.33,2.74503,409
